"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"30","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","#00015","","","Beedrill","","Swarm Sniper","65","90","40","45","80",75
"32","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","#00016","","","Pidgey","","Keen Eye Tangled Feet Big Pecks","40","45","40","35","35",56
"34","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","#00017","","","Pidgeotto","","Keen Eye Tangled Feet Big Pecks","63","60","55","50","50",71
"36","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","#00018","","","Pidgeot","","Keen Eye Tangled Feet Big Pecks","83","80","75","70","70",101
"38","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","#00019","","","Rattata","","Run Away Guts Hustle","30","56","35","25","35",72
"40","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","#00020","","","Raticate","","Run Away Guts Hustle","55","81","60","50","70",97
"42","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","#00021","","","Spearow","","Keen Eye Sniper","40","60","30","31","31",70
"44","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","#00022","","","Fearow","","Keen Eye Sniper","65","90","65","61","61",100
"46","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","#00023","","","Ekans","","Intimidate Shed Skin Unnerve","35","60","44","40","54",55
"48","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","#00024","","","Arbok","","Intimidate Shed Skin Unnerve","60","95","69","65","79",80
"50","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","#00025","","","Pikachu","","Static Lightning Rod","35","55","40","50","50",90
"52","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","#00026","","","Raichu","","Static Lightning Rod","60","90","55","90","80",110
"54","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","#00027","","","Sandshrew","","Sand Veil Sand Rush","50","75","85","20","30",40
"56","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","#00028","","","Sandslash","","Sand Veil Sand Rush","75","100","110","45","55",65
"58","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","#00029","","","Nidoran♀","","Poison Point Rivalry Hustle","55","47","52","40","40",41
"60","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","#00030","","","Nidorina","","Poison Point Rivalry Hustle","70","62","67","55","55",56
"62","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","#00031","","","Nidoqueen","","Poison Point Rivalry Sheer Force","90","92","87","75","85",76
"64","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","#00032","","","Nidoran♂","","Poison Point Rivalry Hustle","46","57","40","40","40",50
"66","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","#00033","","","Nidorino","","Poison Point Rivalry Hustle","61","72","57","55","55",65
"68","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","#00034","","","Nidoking","","Poison Point Rivalry Sheer Force","81","102","77","85","75",85
"70","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","#00035","","","Clefairy","","Cute Charm Magic Guard Friend Guard","70","45","48","60","65",35
"72","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","#00036","","","Clefable","","Cute Charm Magic Guard Unaware","95","70","73","95","90",60
"74","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","#00037","","","Vulpix","","Flash Fire Drought","38","41","40","50","65",65
"76","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","#00038","","","Ninetales","","Flash Fire Drought","73","76","75","81","100",100
"78","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","#00039","","","Jigglypuff","","Cute Charm Competitive Friend Guard","115","45","20","45","25",20
"80","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","#00040","","","Wigglytuff","","Cute Charm Competitive Frisk","140","70","45","85","50",45
"82","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","#00041","","","Zubat","","Inner Focus Infiltrator","40","45","35","30","40",55
"84","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","#00042","","","Golbat","","Inner Focus Infiltrator","75","80","70","65","75",90
"86","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","#00043","","","Oddish","","Chlorophyll Run Away","45","50","55","75","65",30
"88","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","#00044","","","Gloom","","Chlorophyll Stench","60","65","70","85","75",40
"90","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","#00045","","","Vileplume","","Chlorophyll Effect Spore","75","80","85","110","90",50
"92","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","#00046","","","Paras","","Effect Spore Dry Skin Damp","35","70","55","45","55",25
"94","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","#00047","","","Parasect","","Effect Spore Dry Skin Damp","60","95","80","60","80",30
"96","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","#00048","","","Venonat","","Compoundeyes Tinted Lens Run Away","60","55","50","40","55",45
"98","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","#00049","","","Venomoth","","Shield Dust Tinted Lens Wonder Skin","70","65","60","90","75",90
"100","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","#00050","","","Diglett","","Sand Veil Arena Trap Sand Force","10","55","25","35","45",95
"102","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","#00051","","","Dugtrio","","Sand Veil Arena Trap Sand Force","35","100","50","50","70",120
"104","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","#00052","","","Meowth","","Pickup Technician Unnerve","40","45","35","40","40",90
"106","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","#00053","","","Persian","","Limber Technician Unnerve","65","70","60","65","65",115
"108","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","#00054","","","Psyduck","","Damp Cloud Nine Swift Swim","50","52","48","65","50",55
"110","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","#00055","","","Golduck","","Damp Cloud Nine Swift Swim","80","82","78","95","80",85
"112","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","#00056","","","Mankey","","Vital Spirit Anger Point Defiant","40","80","35","35","45",70
"114","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","#00057","","","Primeape","","Vital Spirit Anger Point Defiant","65","105","60","60","70",95
"116","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","#00058","","","Growlithe","","Intimidate Flash Fire Justified","55","70","45","70","50",60
"118","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","#00059","","","Arcanine","","Intimidate Flash Fire Justified","90","110","80","100","80",95
"120","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","#00060","","","Poliwag","","Water Absorb Damp Swift Swim","40","50","40","40","40",90
"122","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","#00061","","","Poliwhirl","","Water Absorb Damp Swift Swim","65","65","65","50","50",90
"124","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","#00062","","","Poliwrath","","Water Absorb Damp Swift Swim","90","95","95","70","90",70
"126","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","#00063","","","Abra","","Synchronize Inner Focus Magic Guard","25","20","15","105","55",90
"128","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","#00064","","","Kadabra","","Synchronize Inner Focus Magic Guard","40","35","30","120","70",105
"130","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","#00065","","","Alakazam","","Synchronize Inner Focus Magic Guard","55","50","45","135","95",120
"132","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","#00066","","","Machop","","Guts No Guard Steadfast","70","80","50","35","35",35
"134","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","#00067","","","Machoke","","Guts No Guard Steadfast","80","100","70","50","60",45
"136","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","#00068","","","Machamp","","Guts No Guard Steadfast","90","130","80","65","85",55
"138","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","#00069","","","Bellsprout","","Chlorophyll Gluttony","50","75","35","70","30",40
"140","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","#00070","","","Weepinbell","","Chlorophyll Gluttony","65","90","50","85","45",55
"142","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","#00071","","","Victreebel","","Chlorophyll Gluttony","80","105","65","100","70",70
"144","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","#00072","","","Tentacool","","Clear Body Liquid Ooze Rain Dish","40","40","35","50","100",70
"146","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","#00073","","","Tentacruel","","Clear Body Liquid Ooze Rain Dish","80","70","65","80","120",100
"148","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","#00074","","","Geodude","","Rock Head Sturdy Sand Veil","40","80","100","30","30",20
"150","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","#00075","","","Graveler","","Rock Head Sturdy Sand Veil","55","95","115","45","45",35
"152","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","#00076","","","Golem","","Rock Head Sturdy Sand Veil","80","120","130","55","65",45
"154","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","#00077","","","Ponyta","","Run Away Flash Fire Flame Body","50","85","55","65","65",90
"156","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","#00078","","","Rapidash","","Run Away Flash Fire Flame Body","65","100","70","80","80",105
"158","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","#00079","","","Slowpoke","","Oblivious Own Tempo Regenerator","90","65","65","40","40",15
"160","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","#00080","","","Slowbro","","Oblivious Own Tempo Regenerator","95","75","110","100","80",30
"162","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","#00081","","","Magnemite","","Magnet Pull Sturdy Analytic","25","35","70","95","55",45
"164","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","#00082","","","Magneton","","Magnet Pull Sturdy Analytic","50","60","95","120","70",70
"166","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","#00083","","","Farfetch'd","","Keen Eye Inner Focus Defiant","52","90","55","58","62",60
"168","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","#00084","","","Doduo","","Run Away Early Bird Tangled Feet","35","85","45","35","35",75
"170","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","#00085","","","Dodrio","","Run Away Early Bird Tangled Feet","60","110","70","60","60",110
"172","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","#00086","","","Seel","","Thick Fat Hydration Ice Body","65","45","55","45","70",45
"174","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","#00087","","","Dewgong","","Thick Fat Hydration Ice Body","90","70","80","70","95",70
"176","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","#00088","","","Grimer","","Stench Sticky Hold Poison Touch","80","80","50","40","50",25
"178","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","#00089","","","Muk","","Stench Sticky Hold Poison Touch","105","105","75","65","100",50
"180","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","#00090","","","Shellder","","Shell Armor Skill Link Overcoat","30","65","100","45","25",40
"182","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","#00091","","","Cloyster","","Shell Armor Skill Link Overcoat","50","95","180","85","45",70
"184","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","#00092","","","Gastly","","Levitate","30","35","30","100","35",80
"186","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","#00093","","","Haunter","","Levitate","45","50","45","115","55",95
"188","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","#00094","","","Gengar","","Cursed Body","60","65","60","130","75",110
"190","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","#00095","","","Onix","","Rock Head Sturdy Weak Armor","35","45","160","30","45",70
"192","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","#00096","","","Drowzee","","Insomnia Forewarn Inner Focus","60","48","45","43","90",42
"194","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","#00097","","","Hypno","","Insomnia Forewarn Inner Focus","85","73","70","73","115",67
"196","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","#00098","","","Krabby","","Hyper Cutter Shell Armor Sheer Force","30","105","90","25","25",50
"198","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","#00099","","","Kingler","","Hyper Cutter Shell Armor Sheer Force","55","130","115","50","50",75
"200","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","#00100","","","Voltorb","","Soundproof Static Aftermath","40","30","50","55","55",100
"202","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","#00101","","","Electrode","","Soundproof Static Aftermath","60","50","70","80","80",150
"204","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","#00102","","","Exeggcute","","Chlorophyll Harvest","60","40","80","60","45",40
"206","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","#00103","","","Exeggutor","","Chlorophyll Harvest","95","95","85","125","75",55
"208","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","#00104","","","Cubone","","Rock Head Lightning Rod Battle Armor","50","50","95","40","50",35
"210","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","#00105","","","Marowak","","Rock Head Lightning Rod Battle Armor","60","80","110","50","80",45
"212","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","#00106","","","Hitmonlee","","Limber Reckless Unburden","50","120","53","35","110",87
"214","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","#00107","","","Hitmonchan","","Keen Eye Iron Fist Inner Focus","50","105","79","35","110",76
"216","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","#00108","","","Lickitung","","Own Tempo Oblivious Cloud Nine","90","55","75","60","75",30
"218","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","#00109","","","Koffing","","Levitate Neutralizing Gas Stench","40","65","95","60","45",35
"220","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","#00110","","","Weezing","","Levitate Neutralizing Gas Stench","65","90","120","85","70",60
"222","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","#00111","","","Rhyhorn","","Lightning Rod Rock Head Reckless","80","85","95","30","30",25
"224","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","#00112","","","Rhydon","","Lightning Rod Rock Head Reckless","105","130","120","45","45",40
"226","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","#00113","","","Chansey","","Natural Cure Serene Grace Healer","250","5","5","35","105",50
"228","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","#00114","","","Tangela","","Chlorophyll Leaf Guard Regenerator","65","55","115","100","40",60
"230","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","#00115","","","Kangaskhan","","Early Bird Scrappy Inner Focus","105","95","80","40","80",90
"232","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","#00116","","","Horsea","","Swift Swim Sniper Damp","30","40","70","70","25",60
"234","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","#00117","","","Seadra","","Poison Point Sniper Damp","55","65","95","95","45",85
"236","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","#00118","","","Goldeen","","Swift Swim Water Veil Lightning Rod","45","67","60","35","50",63
"238","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","#00119","","","Seaking","","Swift Swim Water Veil Lightning Rod","80","92","65","65","80",68
"240","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","#00120","","","Staryu","","Illuminate Natural Cure Analytic","30","45","55","70","55",85
"242","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","#00121","","","Starmie","","Illuminate Natural Cure Analytic","60","75","85","100","85",115
"244","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","#00122","","","Mr. Mime","","Soundproof Filter Technician","40","45","65","100","120",90
"246","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","#00123","","","Scyther","","Swarm Technician Steadfast","70","110","80","55","80",105
"248","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","#00124","","","Jynx","","Oblivious Forewarn Dry Skin","65","50","35","115","95",95
"250","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","#00125","","","Electabuzz","","Static Vital Spirit","65","83","57","95","85",105
"252","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","#00126","","","Magmar","","Flame Body Vital Spirit","65","95","57","100","85",93
"254","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","#00127","","","Pinsir","","Hyper Cutter Mold Breaker Moxie","65","125","100","55","70",85
"256","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","#00128","","","Tauros","","Intimidate Anger Point Sheer Force","75","100","95","40","70",110
"258","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","#00129","","","Magikarp","","Swift Swim Rattled","20","10","55","15","20",80
"260","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","#00130","","","Gyarados","","Intimidate Moxie","95","125","79","60","100",81
"262","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","#00131","","","Lapras","","Water Absorb Shell Armor Hydration","130","85","80","85","95",60
"264","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","#00132","","","Ditto","","Limber Imposter","48","48","48","48","48",48
"266","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","#00133","","","Eevee","","Run Away Adaptability Anticipation","55","55","50","45","65",55
"268","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","#00134","","","Vaporeon","","Water Absorb Hydration","130","65","60","110","95",65
"270","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","#00135","","","Jolteon","","Volt Absorb Quick Feet","65","65","60","110","95",130
"272","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","#00136","","","Flareon","","Flash Fire Guts","65","130","60","95","110",65
"274","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","#00137","","","Porygon","","Trace Download Analytic","65","60","70","85","75",40
"276","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","#00138","","","Omanyte","","Swift Swim Shell Armor Weak Armor","35","40","100","90","55",35
"278","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","#00139","","","Omastar","","Swift Swim Shell Armor Weak Armor","70","60","125","115","70",55
"280","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","#00140","","","Kabuto","","Swift Swim Battle Armor Weak Armor","30","80","90","55","45",55
"282","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","#00141","","","Kabutops","","Swift Swim Battle Armor Weak Armor","60","115","105","65","70",80
"284","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","#00142","","","Aerodactyl","","Rock Head Pressure Unnerve","80","105","65","60","75",130
"286","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","#00143","","","Snorlax","","Immunity Thick Fat Gluttony","160","110","65","65","110",30
"288","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","#00144","","","Articuno","","Pressure Snow Cloak","90","85","100","95","125",85
"290","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","#00145","","","Zapdos","","Pressure Static","90","90","85","125","90",100
"292","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","#00146","","","Moltres","","Pressure Flame Body","90","100","90","125","85",90
"294","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","#00147","","","Dratini","","Shed Skin Marvel Scale","41","64","45","50","50",50
"296","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","#00148","","","Dragonair","","Shed Skin Marvel Scale","61","84","65","70","70",70
"298","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","#00149","","","Dragonite","","Inner Focus Multiscale","91","134","95","100","100",80
"300","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","#00150","","","Mewtwo","","Pressure Unnerve","106","110","90","154","90",130
"302","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","#00151","","","Mew","","Synchronize","100","100","100","100","100",100
"304","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","#00152","","","Chikorita","","Overgrow Leaf Guard","45","49","65","49","65",45
"306","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","#00153","","","Bayleef","","Overgrow Leaf Guard","60","62","80","63","80",60
"308","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","#00154","","","Meganium","","Overgrow Leaf Guard","80","82","100","83","100",80
"310","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","#00155","","","Cyndaquil","","Blaze Flash Fire","39","52","43","60","50",65
"312","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","#00156","","","Quilava","","Blaze Flash Fire","58","64","58","80","65",80
"314","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","#00157","","","Typhlosion","","Blaze Flash Fire","78","84","78","109","85",100
"316","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","#00158","","","Totodile","","Torrent Sheer Force","50","65","64","44","48",43
"318","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","#00159","","","Croconaw","","Torrent Sheer Force","65","80","80","59","63",58
"320","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","#00160","","","Feraligatr","","Torrent Sheer Force","85","105","100","79","83",78
"322","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","#00161","","","Sentret","","Run Away Keen Eye Frisk","35","46","34","35","45",20
"324","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","#00162","","","Furret","","Run Away Keen Eye Frisk","85","76","64","45","55",90
"326","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","#00163","","","Hoothoot","","Insomnia Keen Eye Tinted Lens","60","30","30","36","56",50
"328","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","#00164","","","Noctowl","","Insomnia Keen Eye Tinted Lens","100","50","50","86","96",70
"330","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","#00165","","","Ledyba","","Swarm Early Bird Rattled","40","20","30","40","80",55
"332","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","#00166","","","Ledian","","Swarm Early Bird Iron Fist","55","35","50","55","110",85
"334","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","#00167","","","Spinarak","","Swarm Insomnia Sniper","40","60","40","40","40",30
"336","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","#00168","","","Ariados","","Swarm Insomnia Sniper","70","90","70","60","70",40
"338","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","#00169","","","Crobat","","Inner Focus Infiltrator","85","90","80","70","80",130
"340","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","#00170","","","Chinchou","","Volt Absorb Illuminate Water Absorb","75","38","38","56","56",67
"342","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","#00171","","","Lanturn","","Volt Absorb Illuminate Water Absorb","125","58","58","76","76",67
"344","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","#00172","","","Pichu","","Static Lightning Rod","20","40","15","35","35",60
"346","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","#00173","","","Cleffa","","Cute Charm Magic Guard Friend Guard","50","25","28","45","55",15
"348","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","#00174","","","Igglybuff","","Cute Charm Competitive Friend Guard","90","30","15","40","20",15
"350","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
